team,passer,recipient,start_x,start_y,end_x,end_y,weight
Netherlands,Bart Verbruggen,Joey Veerman,20.133333333333336,43.53333333333333,36.333333333333336,19.733333333333334,3
Netherlands,Bart Verbruggen,Memphis Depay,16.1,37.775,64.47500000000001,31.525,4
Netherlands,Bart Verbruggen,Micky van de Ven,10.375,38.925,28.45,16.375,4
Netherlands,Bart Verbruggen,Nathan Aké,12.117647058823529,43.12352941176471,26.629411764705882,13.123529411764705,17
Netherlands,Bart Verbruggen,Stefan de Vrij,13.274358974358975,41.18205128205128,22.992307692307694,58.217948717948715,39
Netherlands,Bart Verbruggen,Tijjani Reijnders,11.377777777777778,38.58888888888889,31.966666666666665,28.333333333333332,9
Netherlands,Bart Verbruggen,Virgil van Dijk,13.225,43.208333333333336,22.339583333333334,32.225,48
Netherlands,Bart Verbruggen,Wout Weghorst,13.774999999999999,41.0,70.925,49.95,4
Netherlands,Bart Verbruggen,Xavi Simons,15.25,41.8,50.199999999999996,38.15,4
Netherlands,Cody Mathès Gakpo,Denzel Dumfries,96.7,21.599999999999998,105.63333333333333,52.63333333333333,3
Netherlands,Cody Mathès Gakpo,Donyell Malen,116.0,27.9,114.3,39.1,2
Netherlands,Cody Mathès Gakpo,Georginio Wijnaldum,85.5,4.6,88.7,16.6,1
Netherlands,Cody Mathès Gakpo,Jerdy Schouten,74.81428571428572,15.914285714285713,69.35714285714286,25.7,7
Netherlands,Cody Mathès Gakpo,Joey Veerman,89.26,10.9,82.92,14.26,5
Netherlands,Cody Mathès Gakpo,Memphis Depay,87.10000000000001,14.447058823529412,92.18823529411765,18.11764705882353,17
Netherlands,Cody Mathès Gakpo,Micky van de Ven,100.6,25.1,118.1,25.3,1
Netherlands,Cody Mathès Gakpo,Nathan Aké,88.61333333333333,10.126666666666667,77.86666666666666,11.479999999999999,15
Netherlands,Cody Mathès Gakpo,Tijjani Reijnders,88.43684210526315,13.857894736842105,86.83684210526316,25.173684210526318,19
Netherlands,Cody Mathès Gakpo,Virgil van Dijk,83.675,6.7,63.475,20.4,4
Netherlands,Cody Mathès Gakpo,Wout Weghorst,85.17999999999999,16.06,95.86,41.480000000000004,5
Netherlands,Cody Mathès Gakpo,Xavi Simons,94.93636363636364,17.363636363636363,94.14545454545454,23.354545454545452,11
Netherlands,Denzel Dumfries,Bart Verbruggen,42.108333333333334,63.949999999999996,18.416666666666668,45.425000000000004,12
Netherlands,Denzel Dumfries,Cody Mathès Gakpo,106.125,68.1,113.475,30.15,4
Netherlands,Denzel Dumfries,Donyell Malen,78.00714285714285,70.25,88.79285714285713,67.90714285714286,14
Netherlands,Denzel Dumfries,Georginio Wijnaldum,83.9,69.4,91.8,63.1,1
Netherlands,Denzel Dumfries,Jerdy Schouten,70.53999999999999,72.44,65.95666666666666,65.05333333333333,30
Netherlands,Denzel Dumfries,Jeremie Frimpong,55.333333333333336,72.53333333333333,67.18333333333334,75.85000000000001,6
Netherlands,Denzel Dumfries,Joey Veerman,76.9,74.375,70.35,66.225,4
Netherlands,Denzel Dumfries,Lutsharel Geertruida,53.15,73.4,41.65,65.95,4
Netherlands,Denzel Dumfries,Memphis Depay,65.175,71.5625,77.5,61.3875,8
Netherlands,Denzel Dumfries,Nathan Aké,41.0,76.9,36.7,35.4,1
Netherlands,Denzel Dumfries,Stefan de Vrij,61.67321428571428,72.02857142857142,47.646428571428565,62.65714285714286,56
Netherlands,Denzel Dumfries,Steven Bergwijn,92.4375,73.0,88.0125,69.7375,8
Netherlands,Denzel Dumfries,Tijjani Reijnders,76.70833333333333,70.00833333333334,77.90833333333333,60.90833333333333,12
Netherlands,Denzel Dumfries,Virgil van Dijk,69.15,73.21666666666667,52.98333333333333,54.38333333333333,6
Netherlands,Denzel Dumfries,Wout Weghorst,52.9,75.55,69.3,65.95,2
Netherlands,Denzel Dumfries,Xavi Simons,68.57272727272726,57.309090909090905,74.0909090909091,53.809090909090905,11
Netherlands,Donyell Malen,Cody Mathès Gakpo,79.53333333333333,42.9,91.3,38.96666666666667,3
Netherlands,Donyell Malen,Denzel Dumfries,89.84285714285714,69.52857142857142,98.37142857142858,72.3,7
Netherlands,Donyell Malen,Jerdy Schouten,86.06666666666666,67.14999999999999,79.60000000000001,58.51666666666667,6
Netherlands,Donyell Malen,Jeremie Frimpong,62.7,32.2,92.7,53.8,1
Netherlands,Donyell Malen,Joey Veerman,82.5,62.6,74.5,51.9,1
Netherlands,Donyell Malen,Lutsharel Geertruida,89.925,74.1,82.6,74.5,4
Netherlands,Donyell Malen,Memphis Depay,101.83333333333333,59.93333333333334,108.10000000000001,41.300000000000004,3
Netherlands,Donyell Malen,Stefan de Vrij,75.46000000000001,65.52000000000001,65.12,63.239999999999995,5
Netherlands,Donyell Malen,Tijjani Reijnders,76.32857142857142,67.37142857142858,73.35714285714286,56.57142857142857,7
Netherlands,Donyell Malen,Virgil van Dijk,83.3,57.1,66.4,39.4,1
Netherlands,Donyell Malen,Xavi Simons,66.55,53.5,71.35,58.5,2
Netherlands,Georginio Wijnaldum,Jeremie Frimpong,91.2,67.3,98.2,76.3,1
Netherlands,Georginio Wijnaldum,Joey Veerman,29.2,35.0,36.4,35.9,1
Netherlands,Georginio Wijnaldum,Lutsharel Geertruida,61.4,36.9,63.6,55.8,1
Netherlands,Georginio Wijnaldum,Memphis Depay,71.7,5.9,92.1,18.7,1
